order_id, product_id
1, 19
1, 21
1, 5
2, 17
2, 11
2, 14
2, 13
3, 5
3, 3
3, 19
3, 13
3, 15
4, 22
4, 26
4, 12
5, 5
6, 5
6, 12
7, 8
7, 25
7, 21
7, 1
7, 13
7, 10
8, 12
8, 8
9, 8
10, 14
10, 8
11, 12
11, 6
11, 21
11, 22
11, 27
11, 11
12, 19
12, 13
12, 11
12, 6
13, 11
13, 24
13, 26
13, 23
14, 18
15, 16
15, 13
15, 7
16, 23
16, 29
16, 18
16, 16
16, 22
16, 26
17, 18
17, 4
18, 13
18, 3
18, 27
18, 2
19, 26
19, 22
19, 18
19, 14
19, 15
19, 13
20, 22
21, 21
21, 26
22, 7
22, 6
23, 27
23, 7
23, 11
23, 5
24, 24
24, 2
24, 6
24, 28
24, 4
25, 28
25, 17
25, 2
25, 29
25, 19
26, 4
27, 6
27, 15
27, 24
28, 22
28, 9
29, 22
30, 29
30, 6
30, 8
31, 16
31, 12
31, 28
32, 8
32, 5
33, 12
33, 26
33, 21
33, 23
33, 29
33, 13
34, 1
34, 6
34, 22
34, 19
34, 13
34, 27
35, 5
35, 11
35, 26
35, 9
36, 28
36, 7
37, 15
37, 11
38, 18
38, 11
38, 14
38, 20
38, 7
39, 1
39, 21
40, 12
40, 10
40, 11
40, 29
40, 1
41, 13
41, 19
41, 5
41, 29
41, 14
41, 4
42, 2
43, 6
44, 20
44, 18
44, 8
44, 24
44, 26
44, 13
45, 23
45, 1
45, 25
45, 15
46, 16
46, 24
46, 19
46, 13
46, 11
47, 23
47, 28
47, 20
47, 21
48, 15
48, 3
48, 26
48, 7
48, 19
48, 10
49, 5
49, 13
49, 29
49, 3
49, 12
49, 17
50, 15
50, 16
